At. num	Sp. Name	Ion Charge	El. Name	Isoel. Seq.	Ground Shells (a)	Ground Config.	Ground Level	Ionized Level	Prefix	Ionization Energy (eV)	Suffix	Uncertainty (eV)	
"30"	"Zn V"	"+4"	"Zinc"	"Fe"	"[Ar].3d8"	"3p6.3d8"	"3F<4>"	"3d7 4F<9/2>"	"["	"82.6"	"]"	"0.9"	
"30"	"Zn VI"	"+5"	"Zinc"	"Mn"	"[Ar].3d7"	"3p6.3d7"	"4F<9/2>"	"3d6 5D<4>"	"["	"108.0"	"]"	"1.0"	
"30"	"Zn VII"	"+6"	"Zinc"	"Cr"	"[Ar].3d6"	"3d6"	"5D<4>"	"3d5 6S<5/2>"	"["	"133.9"	"]"	"1.2"	
"30"	"Zn VIII"	"+7"	"Zinc"	"V"	"[Ar].3d5"	"3d5"	"6S<5/2>"	"3d4 5D<0>"	"["	"173.9"	"]"	"1.7"	
"30"	"Zn IX"	"+8"	"Zinc"	"Ti"	"[Ar].3d4"	"3d4"	"5D0"	"3d3 4F<3/2>"	"["	"203.0"	"]"	"2.0"	
"30"	"Zn X"	"+9"	"Zinc"	"Sc"	"[Ar].3d3"	"3d3"	"4F<3/2>"	"3d2 3F<2>"	"("	"238.0"	")"	"2.2"	
"30"	"Zn XI"	"+10"	"Zinc"	"Ca"	"[Ar].3d2"	"3p6.3d2"	"3F<2>"	"3d 2D<3/2>"	"["	"274.4"	"]"	"0.5"	
"30"	"Zn XII"	"+11"	"Zinc"	"K"	"[Ar].3d"	"3p6.3d"	"2D<3/2>"	"3p6 1S<0>"	"["	"310.8"	"]"	"1.0"	
"30"	"Zn XIII"	"+12"	"Zinc"	"Ar"	"[Ne].3s2.3p6"	"3s2.3p6"	"1S0"	"3p5 2P*<3/2>"	"["	"417.6"	"]"	"1.2"	
"30"	"Zn XIV"	"+13"	"Zinc"	"Cl"	"[Ne].3s2.3p5"	"3s2.3p5"	"2P*<3/2>"	"3p4 3P<2>"	"["	"453.4"	"]"	"0.3"	
"30"	"Zn XV"	"+14"	"Zinc"	"S"	"[Ne].3s2.3p4"	"3s2.3p4"	"3P<2>"	"3p3 4S*<3/2>"	"["	"490.6"	"]"	"0.6"	
"30"	"Zn XVI"	"+15"	"Zinc"	"P"	"[Ne].3s2.3p3"	"3s2.3p3"	"4S*<3/2>"	"3p2 3P<0>"	"["	"540.0"	"]"	"1.0"	
"30"	"Zn XVII"	"+16"	"Zinc"	"Si"	"[Ne].3s2.3p2"	"3s2.3p2"	"3P0"	"3p 2P*<1/2>"	"["	"577.8"	"]"	"1.3"	
"30"	"Zn XVIII"	"+17"	"Zinc"	"Al"	"[Ne].3s2.3p"	"3s2.3p"	"2P*<1/2>"	"3s2 1S<0>"	"["	"613.3"	"]"	"2.4"	
"30"	"Zn XIX"	"+18"	"Zinc"	"Mg"	"[Ne].3s2"	"2p6.3s2"	"1S0"	"3s 2S<1/2>"	"["	"697.5"	"]"	"0.7"	
"30"	"Zn XX"	"+19"	"Zinc"	"Na"	"[Ne].3s"	"2p6.3s"	"2S<1/2>"	"2p6 1S<0>"	"["	"737.366"	"]"	"0.021"	
"30"	"Zn XXI"	"+20"	"Zinc"	"Ne"	"1s2.2s2.2p6"	"2s2.2p6"	"1S0"	"2p5 2P*<3/2>"	"["	"1846.8"	"]"	"1.0"	
"30"	"Zn XXII"	"+21"	"Zinc"	"F"	"1s2.2s2.2p5"	"2s2.2p5"	"2P*<3/2>"	"2p4 3P<2>"	"["	"1961"	"]"	"3"	
"30"	"Zn XXIII"	"+22"	"Zinc"	"O"	"1s2.2s2.2p4"	"2s2.2p4"	"3P<2>"	"2p3 4S*<3/2>"	"["	"2085"	"]"	"5"	
"30"	"Zn XXIV"	"+23"	"Zinc"	"N"	"1s2.2s2.2p3"	"2s2.2p3"	"4S*<3/2>"	"2p2 3P<0>"	"["	"2214"	"]"	"8"	
"30"	"Zn XXV"	"+24"	"Zinc"	"C"	"1s2.2s2.2p2"	"2s2.2p2"	"3P0"	"2p 2P*<1/2>"	"["	"2358.0"	"]"	"1.6"	
"30"	"Zn XXVI"	"+25"	"Zinc"	"B"	"1s2.2s2.2p"	"2p"	"2P*<1/2>"	"2s2 1S<0>"	"["	"2491.5"	"]"	"1.1"	
"30"	"Zn XXVII"	"+26"	"Zinc"	"Be"	"1s2.2s2"	"1s2.2s2"	"1S0"	"2s 2S<1/2>"	"["	"2669.9"	"]"	"2.5"	
"30"	"Zn XXVIII"	"+27"	"Zinc"	"Li"	"1s2.2s"	"1s2.2s"	"2S<1/2>"	"1s2 1S<0>"	"("	"2781.996"	")"	"0.007"	
"30"	"Zn XXIX"	"+28"	"Zinc"	"He"	"1s2"	"1s2"	"1S0"	"1s 2S<1/2>"	"("	"11864.9401"	")"	"0.0014"	
"30"	"Zn XXX"	"+29"	"Zinc"	"H"	"1s"	"1s"	"2S<1/2>"	""	"("	"12388.9427"	")"	"0.0006"	
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6

